segment_id,area_m2,east,north,b4,b3,b2,b8,ndvi,ndvi_change,ratio_rg_change,brightness,brightness_change,gndvi,slope_max,slope_mean,nd_std,height_mean,height_min,height_max,Type
L0_S885,23100.0,315244.2640692641,129674.04761904762,1273.2857142857142,1225.0865800865802,1199.2294372294373,2924.506493506493,0.3925039997864595,0.028581896136663263,0.4892498315412761,1.232533912896078,-0.4125672764592356,0.39879597233229386,9.374117851257324,6.286587986595187,0.19579775741089991,784.7229437229437,768.0,803.0,0.0
L0_S901,14000.0,313953.5714285714,129651.42857142855,534.7642857142856,881.3428571428572,943.5071428571428,3176.6,0.7103812238999776,0.058182923003499004,0.5160974355680602,0.7865380955593927,-0.13173054898423808,0.5639787857021604,32.81203842163086,16.378382151467463,0.04971287650987506,1087.65,1040.0,1103.0,0.0
L0_S941,18600.0,314313.17204301077,129475.96774193547,557.6720430107526,945.962365591398,966.6129032258065,3689.784946236559,0.7367139019632852,0.012500029935269,0.4731425856069852,0.8234157741710704,-0.12397426217594132,0.5912135801007671,22.28996086120605,16.524717038677586,0.0321570930111232,931.0913978494624,900.0,969.0,0.0
L0_S960,11400.0,316220.96491228073,129535.26315789473,522.1842105263158,893.6228070175439,952.0263157894735,3786.385964912281,0.7536134866246006,-0.02385388158278115,0.365496555964152,0.7892777783828869,-0.07566423862437277,0.6130101787939406,33.09044647216797,25.518367909548573,0.04548449623970348,711.5350877192983,659.0,751.0,0.0
L0_S984,22800.0,316105.35087719304,129440.48245614035,522.7587719298245,868.1184210526317,953.0263157894735,3556.236842105264,0.7406475230267173,-0.04645774954840083,0.3878922849370722,0.781301169803268,-0.008120412195319403,0.6038595764783391,30.27495574951172,18.171603116027093,0.02579020832567231,733.9078947368422,697.0,753.0,0.0
L0_S1038,15900.0,314827.2012578616,129306.25786163525,628.4465408805031,1017.8993710691824,1012.4025157232704,3486.201257861636,0.694062812898144,0.00975217711743855,0.4708939249035698,0.8862494755091157,-0.20022792847089046,0.5474227674352298,21.36855697631836,10.654597079978801,0.051626572549436825,783.0188679245282,774.0,811.0,0.0
L0_S1071,8900.0,314331.1797752809,129273.65168539324,642.876404494382,990.9550561797753,1002.6966292134832,3274.0224719101125,0.669768774777316,0.0009099286722589619,0.4378638669346156,0.8788426953755067,-0.0904172913621316,0.5332232244898764,17.815134048461914,11.898398185044194,0.04243266207867124,907.0449438202247,894.0,925.0,0.0
L0_S1080,1500.0,317027.0,129259.0,669.9333333333333,1030.1333333333334,1037.8666666666666,3457.866666666667,0.6732229828834534,-0.08385125529021024,0.3628668824831645,0.9126444419225056,-0.001775444174806277,0.5388625522454579,8.339415550231934,6.677874914805094,0.1051974967122078,607.1333333333333,604.0,611.0,0.0
L0_S1121,23600.0,315893.7288135593,129074.32203389832,590.2627118644067,911.6779661016948,989.1525423728813,3053.817796610169,0.6739181743587478,-0.039835542286016136,0.37970892377829146,0.8303644096447249,-0.03495975673557318,0.5371436739371995,17.9431209564209,11.42155435176219,0.1196061562967755,716.2966101694914,698.0,736.0,0.0
L0_S1129,17400.0,314481.7816091954,129054.42528735632,579.7873563218392,925.0172413793103,978.603448275862,3363.959770114943,0.7024240404710003,0.029810011618572958,0.4789115120282119,0.8278026817173794,-0.0930902725483703,0.5653087541289713,30.76630401611328,17.916505386089455,0.03886224650617304,831.9425287356323,799.0,859.0,0.0
L0_S1225,24200.0,315674.1322314049,128734.58677685949,826.3595041322315,1117.7190082644631,1114.2355371900826,3366.504132231405,0.6038866643447521,-0.04628982291314443,0.4234974083821635,1.019438016020562,-0.14238209175528027,0.4982570274925429,7.875936508178711,5.096593110029363,0.12812850341847368,701.5619834710744,690.0,714.0,0.0
L0_S1621,13000.0,313622.23076923075,127792.38461538461,526.5153846153846,875.8076923076923,960.3,3336.1769230769232,0.7254028201103211,-0.007088929425495176,0.4153912661167292,0.7875410249600043,-0.0019057521710027891,0.5817454622342036,31.50442886352539,20.47636770101694,0.027355112507939337,880.6,849.0,904.0,0.0
L0_S1704,17200.0,316158.5465116279,127575.0,1316.6918604651162,1392.406976744186,1456.3488372093025,2306.7267441860463,0.26888657123023685,0.07126386921858242,0.457093715840994,1.3884825595589572,-0.09839712881427637,0.2400290645593994,5.3924665451049805,3.883729005968848,0.1357971268251192,621.3837209302326,614.0,631.0,0.0
L0_S1709,15100.0,313000.6953642384,127598.77483443708,570.4437086092714,958.2781456953644,995.5960264900664,3114.4105960264897,0.6834021163302542,-0.0899524702644284,0.2793132838429205,0.841439293315079,0.02847814969394652,0.5209393157864248,18.14838409423828,8.70480694676077,0.04360262881841091,921.41059602649,906.0,930.0,0.0
L15_S104,24600.0,642236.6260162601,3972413.699186992,536.8577235772358,812.5813008130083,848.9918699186992,2864.0691056910573,0.6829687209148717,0.019272402343453798,0.5255164203605032,0.7328102976326051,-0.18475090273148645,0.5563865477234368,30.08966445922852,18.506113381889772,0.04131549126582175,690.9024390243902,655.0,729.0,0.0
L15_S114,23700.0,641254.7046413502,3972388.9662447255,486.64135021097053,767.3248945147681,837.8185654008438,2805.873417721519,0.7037414282183104,0.017568064930422414,0.5650690827943101,0.6972616050816789,-0.1383246082796829,0.5697390990418221,32.195571899414055,21.47102871424035,0.02589254379901202,503.28270042194094,459.0,571.0,0.0
L15_S122,109300.0,640456.912168344,3972265.8142726435,1474.668801463861,1232.310155535224,1213.7493138151876,2367.089661482159,0.2401616721050192,0.31637533338530005,0.8319688969430635,1.306909422316032,-0.4496225149107437,0.3161515307639132,39.895118713378906,19.04637467675763,0.12539318847416306,403.4318389752974,331.0,455.0,0.0
